Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2012101399, □地ニーマルゴールド 　,2012年2月1日,金田一昌 (金沢),平賀義貴,下河辺牧場,日高町,"1,628万円 (2012年 セレクトセール)",キングカメハメハ,レッドステラーノ,アグネスタキオン,0.00,20.00
2012101400,キールインペリアル 　,2012年4月2日,高橋裕 (美浦),下河辺牧場,下河辺牧場,日高町,,チチカステナンゴ,レミニセントリー,Affirmed,0.00,0.00
2012101401,ロイヤルスピリッツ 　,2012年2月7日,池上昌和 (美浦),下河邉行雄,下河辺牧場,日高町,,ハーツクライ,ロイヤルティアラ,ノーザンテースト,110.00,360.00
2012101402,グレーターロンドン 　,2012年5月23日,大竹正博 (美浦),窪田康志,下河辺牧場,日高町,,ディープインパクト,ロンドンブリッジ,ドクターデヴィアス,0.00,1007.80
2012101403,ダノンラファール 　,2012年1月31日,安田隆行 (栗東),ダノックス,下河辺牧場,日高町,"2,100万円 (2012年 セレクトセール)",マンハッタンカフェ,ローマンブリッジ,ブライアンズタイム,0.00,0.00
2012101404, □地サマーサティ 　,2012年3月15日,宮路洋一 (高知),酒井孝敏,ＳｈａｌｌＦａｒｍ,日高町,,キングヘイロー,クールモダン,フジキセキ,0.00,0.00
2012101405,ティーエスデュモル 　,2012年4月6日,岩元市三 (栗東),田畑利彦,ＳｈａｌｌＦａｒｍ,日高町,,クーリンガー,ダンスミュージカル,ダンシングブレーヴ,0.00,0.00
2012101406,アスクジョーダン 　,2012年3月20日,野中賢二 (栗東),廣崎利洋,ＳｈａｌｌＦａｒｍ,日高町,,キンシャサノキセキ,ネヴァーピリオド,タイキシャトル,0.00,550.00
2012101407,ティーエスベスト 　,2012年5月28日,岩元市三 (栗東),田畑利彦,ＳｈａｌｌＦａｒｍ,日高町,,カンパニー,ローズアライヴァル,フジキセキ,0.00,0.00
2012101408, □地アヴァンシア 　,2012年3月10日,佐野謙二 (大井),（有）アシスタント,庄野牧場,日高町,210万円 (2013年 北海道サマーセール),ブラックタイド,エステル,タイキシャトル,581.50,729.00
2012101409, □地チャーミングポッケ 　,2012年4月17日,盛本信春 (兵庫),庄野宏志,庄野牧場,日高町,,ジャングルポケット,キミーズキッド,Exploit,0.00,0.00
2012101410, ○地メイショウクロタカ 　,2012年3月10日,庄野靖志 (栗東),松本好雄,庄野牧場,日高町,,ハーツクライ,グラールホーリー,アフリート,0.00,0.00
2012101411,オレンジガーネット 　,2012年4月23日,中川公成 (美浦),庄野昭彦,庄野牧場,日高町,,ファルブラヴ,センターグランタス,アグネスタキオン,0.00,91.60
2012101412,ディプロマティストの2012 　,2012年4月3日, ,,庄野牧場,日高町,,スペシャルウィーク,ディプロマティスト,ジェネラス,0,0
2012101413, □地ランベルティ 　,2012年4月11日,田中譲二 (高知),（有）ホースケア,庄野牧場,日高町,,ブラックタイド,ドクターベローナ,メジロライアン,0.00,0.00
2012101414,ホワイトガーデン 　,2012年4月29日,小野次郎 (美浦),小林祥晃,庄野牧場,日高町,704万円 (2013年 北海道オータムセール),シニスターミニスター,ライラックノカオリ,キンググローリアス,0.00,0.00
2012101415,レインスコール 　,2012年3月30日,庄野靖志 (栗東),松岡隆雄,庄野牧場,日高町,,ハービンジャー,レインリバー,スウェプトオーヴァーボード,0.00,0.00
2012101416,トップゴーオン 　,2012年4月2日,坂口正則 (栗東),コオロ,庄野牧場,日高町,,フレンチデピュティ,レッドプライム,スペシャルウィーク,0.00,0.00
2012101417, □地モアザンワーズ 　,2012年2月18日,今津博之 (地方),増田兼良,白井牧場,日高町,,ダイワメジャー,アマゾンリリー,ホワイトマズル,0.00,0.00
2012101418,ミッキーオレゴン 　,2012年3月19日,高野友和 (栗東),野田みづき,白井牧場,日高町,"1,785万円 (2012年 セレクトセール)",ワイルドラッシュ,オレゴントレイル,ダンスインザダーク,0.00,0.00
2012101419,ナリタボレロ 　,2012年2月9日,宮本博 (栗東),オースミ,白井牧場,日高町,,マンハッタンカフェ,オースミリンド,Woodman,0.00,0.00
2012101420,ファニーガール 　,2012年5月20日,柴田政人 (美浦),水谷八重子,白井牧場,日高町,,カリズマティック,カリスマブラック,ブラックタキシード,0.00,0.00
2012101421,オヒア 　,2012年3月9日,村山明 (栗東),金子真人ホールディングス,白井牧場,日高町,,ブラックタイド,ギガンティア,Fusaichi Pegasus,1010.00,2480.40
2012101422,サラトガスピリット 　,2012年3月7日,友道康夫 (栗東),平井裕,白井牧場,日高町,,ハーツクライ,サラトガ,クロフネ,0.00,1057.40
2012101423,スリーミスゲイ 　,2012年4月17日,大橋勇樹 (栗東),永井商事,白井牧場,日高町,,スズカフェニックス,スリーキャロル,キャロルハウス,0.00,0.00
2012101424, □地セントボナパルト 　,2012年3月1日,真島元徳 (佐賀),平井裕,白井牧場,日高町,,エンパイアメーカー,セントフロンティア,デインヒル,0.00,22.00
2012101425, □地アヴァンギャルド 　,2012年2月18日,角川秀樹 (北海道),白井岳,白井牧場,日高町,,マンハッタンカフェ,チリエージェ,サクラバクシンオー,0.00,0.00
2012101426,パイアタウン 　,2012年4月10日,吉田直弘 (栗東),金子真人ホールディングス,白井牧場,日高町,,キングカメハメハ,ドリームローズ,サクラバクシンオー,0.00,0.00
2012101427,ナリタイナズマ 　,2012年4月5日,木原一良 (栗東),オースミ,白井牧場,日高町,,ハービンジャー,ナリタシークレット,フジキセキ,0.00,0.00
2012101428, ○地フローレンスオーロ 　,2012年2月27日,戸田博文 (美浦),平井裕,白井牧場,日高町,,ゴールドアリュール,フローレンスガール,El Corredor,0.00,90.00
2012101429,モントレーベイ 　,2012年3月13日,勢司和浩 (美浦),金子真人ホールディングス,白井牧場,日高町,,クロフネ,ホッテストチケット,ゼンノエルシド,75.00,255.00
2012101430,マイネルカレッツァ 　,2012年5月22日,中舘英二 (美浦),サラブレッドクラブ・ラフィアン,白井牧場,日高町,,ステイゴールド,ポップコーンプリンセス,Old Trieste,310.00,1020.00
2012101431, □地マコトグランドゥ 　,2012年4月28日,角田輝也 (愛知),（株）ディアマント,白井牧場,日高町,,ファルブラヴ,マコトエンエン,サンデーサイレンス,180.00,895.00
2012101432, □地ラヴィーゲラン 　,2012年3月28日,川島洋人 (北海道),白井岳,白井牧場,日高町,,スペシャルウィーク,メガミゲラン,シェイディハイツ,0.00,0.00
2012101433, □地マッセ 　,2012年2月26日,斉藤正弘 (北海道),村上卓史,白井牧場,日高町,,ブレイクランアウト,リュバンドール,トニービン,0.00,46.00
2012101434, □地モエルア 　,2012年2月28日,角川秀樹 (北海道),白井岳,白井牧場,日高町,972万円 (2014年 JRAブリーズアップセール),エンパイアメーカー,リリーポンド,Grand Slam,0.00,50.00
2012101435, □地ファミリーズオナー 　,2012年3月11日,平山真希 (地方),岡田牧雄,白瀬盛雄,日高町,,デュランダル,エリザベススイート,ティンバーカントリー,0.00,200.00
2012101436,マインドブロウ 　,2012年2月6日,的場均 (美浦),林勝宗,白瀬盛雄,日高町,918万円 (2014年 北海道トレーニングセール),ファルブラヴ,サンドティアラ,タイキシャトル,0.00,500.00
2012101437,タイセイフローラ 　,2012年4月12日,菊川正達 (美浦),田中成奉,白瀬盛雄,日高町,702万円 (2014年 JRAブリーズアップセール),グラスワンダー,スイートソウル,ソウルオブザマター,145.00,145.00
2012101438,フミノインパルス 　,2012年4月18日,目野哲也 (栗東),谷二,白瀬盛雄,日高町,536万円 (2013年 北海道オータムセール),タニノギムレット,ホリデイスクリーン,フレンチデピュティ,225.00,435.00
2012101439,マヤノカピオラニの2012 　,2012年3月30日, ,,白瀬盛雄,日高町,,キンシャサノキセキ,マヤノカピオラニ,キングカメハメハ,0,0
2012101440,ミンドゥルレの2012 　,2012年5月25日, ,,白瀬盛雄,日高町,,サムライハート,ミンドゥルレ,カコイーシーズ,0,0
2012101441,ショウナンダイナモ 　,2012年3月7日,古賀史生 (美浦),国本哲秀,白瀬盛雄,日高町,,フレンチデピュティ,ヨーレン,Elusive Quality,0.00,0.00
2012101442,エンゲルフライト 　,2012年2月18日,矢作芳人 (栗東),嶋田賢,シンコーファーム,日高町,,ハービンジャー,サラトガデュー,Cormorant,0.00,604.00
2012101443, □地コーズウェイ 　,2012年2月27日,鈴木義久 (地方),（有）新生ファーム,新生ファーム,日高町,,ティンバーカントリー,エムワイスカレット,フレンチデピュティ,513.00,623.00
2012101444,オースミキャンドルの2012 　,2012年3月29日, ,,新生ファーム,日高町,,スターリングローズ,オースミキャンドル,キンググローリアス,0,0
2012101445, □地エキシビジョン 　,2012年3月28日,冨田敏男 (地方),冨田藤男,新生ファーム,日高町,,フサイチコンコルド,グレースペニー,アフリート,114.60,154.90
2012101446, □地ネガティヴ 　,2012年3月27日,横山保 (浦和),子安一光,新生ファーム,日高,,アジュディミツオー,ゴーゴースズカ,フォーティナイナー,613.00,642.00
2012101447, □地ミスターロールス 　,2012年4月13日,藤ヶ崎一 (愛知),永山和夫,新生ファーム,日高町,,スリーロールス,ゴールドインパルス,フォーティナイナー,86.40,107.80
2012101448, □地ダンディドライブ 　,2012年4月23日,田辺陽一 (川崎),栗山正,新生ファーム,日高町,,マイネルセレクト,サンデーメモリー,サンデーサイレンス,245.00,245.00
2012101449,スモモの2012 　,2012年5月10日, ,,新生ファーム,日高町,,アドマイヤオーラ,スモモ,デヒア,0,0
2012101450,ドミネーションの2012 　,2012年4月14日, ,,新生ファーム,日高町,,パーソナルラッシュ,ドミネーション,ゴーナウ,0,0
2012101451, □地ユメハオオキク 　,2012年2月27日,井上孝彦 (笠松),吉田勝利,新生ファーム,日高町,,アドマイヤオーラ,ニシノシャトル,タイキシャトル,124.30,194.40
2012101452, □地アヤソフィア 　,2012年2月29日,酒井一則 (高崎),杉浦和也,新生ファーム,日高町,,ダイタクリーヴァ,ビワアラビアン,Nijinsky,0.00,0.00
2012101453, □地リリパットララバイ 　,2012年5月5日,山越光 (浦和),小沼一成,新生ファーム,日高町,,アジュディミツオー,ファビラストロング,ワカオライデン,65.40,160.80
2012101454, □地ショウリ 　,2012年2月16日,小久保智 (浦和),坂本順子,新生ファーム,日高町,,オンファイア,ベルグベラミ,フォーティナイナー,365.00,365.00
2012101455, □地キタコブシ 　,2012年2月18日,土井道隆 (佐賀),（同）ＪＰＮ技研,新生ファーム,日高町,,マイネルセレクト,ミスプロ,アフリート,0.00,0.80
2012101456, □地フナツプレジデント 　,2012年4月12日,坂本昇 (船橋),横山秀利,新生ファーム,日高町,,スターリングローズ,ミスホーチミン,フォーティナイナー,108.00,131.20
2012101457,ミスメコンガワの2012 　,2012年4月10日, ,,新生ファーム,日高町,,オンファイア,ミスメコンガワ,ゴーナウ,0,0
2012101458, □地ティファナ 　,2012年4月7日,伊藤隆志 (地方),（有）新生ファーム,新生ファーム,日高町,,パーソナルラッシュ,ラブアフリート,ヴィクトリースピーチ,0.00,0.00
2012101459, □地リョウテニハナ 　,2012年4月26日,竹之下昭 (愛知),（株）マステック,スマイルファーム,日高町,,サムライハート,アドマイヤダッシュ,フサイチコンコルド,0.00,0.00
2012101460,グレースドゥモナコ 　,2012年4月12日,松永昌博 (栗東),西田彰宏,スマイルファーム,日高町,,タイキシャトル,サワノパルファン,クロフネ,0.00,730.00
2012101461,ゴールドメダリオン 　,2012年3月26日,松元茂樹 (栗東),西田彰宏,スマイルファーム,日高町,,コンデュイット,サワノプリマベーラ,サンデーサイレンス,700.00,700.00
2012101462,タマモイヤリング 　,2012年2月19日,角田晃一 (栗東),タマモ,スマイルファーム,日高町,,ブラックタイド,タマモピアス,キングカメハメハ,870.00,870.00
2012101463, □地アベニンバード 　,2012年4月28日,角川秀樹 (北海道),高橋和彦,スマイルファーム,日高町,,エアジハード,ダンシングバード,チーフベアハート,98.50,112.60
2012101464,タマモキャラット 　,2012年2月11日,藤沢則雄 (栗東),タマモ,スマイルファーム,日高町,,ブラックタイド,チャームペンダント,ボストンハーバー,0.00,0.00
2012101465,デピュティプリミエの2012 　,2012年3月16日, ,,スマイルファーム,日高町,,ハイアーゲーム,デピュティプリミエ,フレンチデピュティ,0,0
2012101466,イワヌガハナ 　,2012年4月25日,小野次郎 (美浦),國分純,スマイルファーム,日高町,,ファルブラヴ,マッチオブジュエル,フジキセキ,70.00,820.00
2012101467,コガネセンガンの2012 　,2012年3月31日, ,,瀬戸牧場,日高町,273万円 (2013年 北海道サマーセール),エイシンサンディ,コガネセンガン,クリスタルパレス,0,0
2012101468, □地ナンゴクスペシャル 　,2012年3月30日,的場直之 (大井),平本敏夫,瀬戸牧場,日高町,,アドマイヤオーラ,フェアバンクス,Bering,50.00,242.30
2012101469, □地ラブリサンシャイン 　,2012年3月23日,佐藤浩一 (岩手),菊池一之,瀬戸牧場,日高町,63万円 (2013年 北海道オータムセール),マヤノトップガン,ラヴリーベイリー,Mister Baileys,150.00,173.00
2012101470,リンカーンハート 　,2012年2月26日,相沢郁 (美浦),芹澤精一,瀬戸牧場,日高町,158万円 (2013年 北海道サマーセール),サムライハート,リンカーングリーン,ティンバーカントリー,125.00,125.00
2012101471, □地ジェンキンス 　,2012年4月8日,川島洋人 (北海道),高沢正幸,高澤俊雄,日高町,,グラスワンダー,プランサー,アブクマポーロ,55.50,146.50
2012101472, □地チャンドニ 　,2012年4月11日,有馬澄男 (兵庫),雜古隆夫,高橋牧場,日高町,210万円 (2013年 北海道サマーセール),スターリングローズ,ヴィゼ,キャプテンスティーヴ,15.00,106.50
2012101473, □地コンバットソフィー 　,2012年4月30日,吉井敏雄 (金沢),（株）ウェルネット,高藤茂,日高町,,ゼンノドラゴン,ゴールデングリン,キンググローリアス,17.60,17.60
2012101474, □地ノアズドリーム 　,2012年4月15日,加藤和義 (地方),東邦男,高藤茂,日高町,,ドリームスプレッド,ベルモントシャルム,フォーティナイナー,76.00,89.80
2012101475, □地ファーストユウゼン 　,2012年3月28日,宗石大 (高知),下妻正次郎,高柳隆男,日高町,,アドマイヤコジーン,オーシャンブリーズ,スペシャルウィーク,106.60,106.60
2012101476, □地アマリアローズ 　,2012年3月25日,小沢宏次 (地方),迎徹,高柳隆男,日高町,,オンファイア,オードリーアン,クロフネ,75.00,77.40
2012101477,カレンローザネーラ 　,2012年5月6日,安田隆行 (栗東),鈴木隆司,高柳隆男,日高町,,サムライハート,カレンママ,エンドスウィープ,980.00,1160.00
2012101478,ケイエスミラージュ 　,2012年3月4日,高橋義忠 (栗東),キヨシサービス,高柳隆男,日高町,,ワイルドラッシュ,ケイエスアカリ,フジキセキ,0.00,575.00
2012101479, □地テイクツル 　,2012年3月15日,新井隆太 (地方),社納常美,高柳隆男,日高町,273万円 (2013年 北海道サマーセール),オレハマッテルゼ,ケイエスホノカ,アフリート,0.00,0.00
2012101480, □地ブランニュー 　,2012年2月20日,宮本仁 (愛知),蜂須賀重夫,高柳隆男,日高町,,ブライアンズタイム,ビジネスロマン,メジロマックイーン,110.00,206.00
2012101481,デンコウマナ 　,2012年4月22日,荒川義之 (栗東),田中康弘,高柳隆男,日高町,399万円 (2013年 北海道サマーセール),ヴァーミリアン,メイショウデンコー,ジェイドロバリー,0,0
2012101482, □地タイキスター 　,2012年4月19日,小沢宏次 (地方),浜野順之助,高山博,日高町,,タイキシャトル,アブクマレディー,ホスピタリテイ,200.00,200.00
2012101483,イェドプリオル 　,2012年2月28日,高橋康之 (栗東),ノースヒルズ,高山博,日高町,"1,674万円 (2014年 JRAブリーズアップセール)",ヴァーミリアン,ビービーシグナス,ホワイトマズル,0.00,700.00
2012101484, □地ステージインパクト 　,2012年4月30日,柏原誠路 (兵庫),一村哲也,高山牧場,日高町,,ヴァーミリアン,クラッシードレス,エリシオ,0.00,200.00
2012101485,クリアソウルの2012 　,2012年5月31日, ,,高山牧場,日高町,,クロフネ,クリアソウル,アグネスデジタル,0,0
2012101486,ファーマベリー 　,2012年4月9日,日吉正和 (栗東),中西功,杉山義行,新冠町,,アサクサデンエン,フルートフルタイム,ジャングルポケット,0.00,0.00
2012101487, □地レディジェイ 　,2012年5月20日,沢佳宏 (大井),高埜二郎,高山牧場,日高町,,タニノギムレット,マチカネエンムスビ,Caerleon,37.50,157.50
2012101488,ウィンディレディの2012 　,2012年5月17日, ,,滝本健二,日高町,,ホワイトマズル,ウィンディレディ,エルコンドルパサー,0,0
2012101489,ドリームドルチェ 　,2012年4月17日,根本康広 (美浦),ライオンレースホース,滝本健二,日高町,546万円 (2013年 北海道サマーセール),マイネルラヴ,オリジナルデザート,リアルシャダイ,230.00,910.00
2012101490, □地スペランツァステラ 　,2012年5月4日,加藤和義 (地方),東邦男,滝本健二,日高町,105万円 (2013年 北海道オータムセール),ファルブラヴ,セトノオレンジ,ホワイトマズル,47.20,47.20
2012101491, ○地ナゲットレイツ 　,2012年3月12日,本間忍 (美浦),竹本いずみ,滝本健二,日高町,158万円 (2013年 北海道サマーセール),スウェプトオーヴァーボード,ハッピーチケット,バブルガムフェロー,0.00,0.00
2012101492, □地エムオーストーム 　,2012年4月29日,別府真司 (高知),吉橋英隆,滝本健二,日高町,,カンパニー,ミスマーマレード,ダンスインザダーク,52.50,52.50
2012101493, □地キーマーク 　,2012年3月12日, (地方),（有）ホースケア,田中元寿,日高町,,エイシンデピュティ,キーウイーク,スペシャルウィーク,0.00,3.20
2012101494, □地イナカノプレスリー 　,2012年3月23日,大島静夫 (佐賀),安徳義則,田中元寿,日高町,158万円 (2013年 北海道オータムセール),ブラックタイド,スマートディンプル,スクワートルスクワート,32.30,32.30
2012101495, □地クールカゲロウ 　,2012年5月20日,保利幸作 (兵庫),保利照美,田中元寿,日高町,,エンパイアメーカー,ビクトリアメーク,ラストタイクーン,0.00,0.00
2012101496,アフレイタスの2012 　,2012年4月6日, ,,タバタファーム,日高町,,サウスヴィグラス,アフレイタス,サンデーサイレンス,0,0
2012101497,カクテルハートの2012 　,2012年3月4日, ,,タバタファーム,日高町,,アドマイヤムーン,カクテルハート,オペラハウス,0,0
2012101498,ステルス 　,2012年4月10日,加用正 (栗東),ＨｉｍＲｏｃｋＲａｃｉｎｇ,タバタファーム,日高町,,ディープインパクト,ゴールデンベティー,アフリート,0.00,0.00
2012101499,マッカナバラ 　,2012年2月25日,北出成人 (栗東),協栄,タバタファーム,日高町,,スターリングローズ,ゴールドエンジェル,クロフネ,0.00,700.00
2012101500,ストリートキャット 　,2012年5月22日, ,,タバタファーム,日高町,,アドマイヤムーン,スターエンジェル,アフリート,0,0
2012101501,ダヴィンチコード 　,2012年4月5日,古賀慎明 (美浦),ＨｉｍＲｏｃｋＲａｃｉｎｇ,タバタファーム,日高町,,キングカメハメハ,セレスティアル,アグネスタキオン,0.00,0.00
2012101502,ミツバ 　,2012年3月28日,加用正 (栗東),協栄,タバタファーム,日高町,,カネヒキリ,セントクリスマス,コマンダーインチーフ,990.00,1822.00
2012101503, □地ルーヴルヴォイス 　,2012年4月24日,伊藤強一 (笠松),安東純二,タバタファーム,日高町,,ダイワメジャー,ノーアフェアー,Swain,42.00,119.60
2012101504,ブラックバード 　,2012年6月7日,加用正 (栗東),ＨｉｍＲｏｃｋＲａｃｉｎｇ,タバタファーム,日高町,,ダイワメジャー,ハレクラニ,ブライアンズタイム,1100.00,1100.00
2012101505,ブラックムーン 　,2012年5月2日,西浦勝一 (栗東),ＨｉｍＲｏｃｋＲａｃｉｎｇ,タバタファーム,日高町,,アドマイヤムーン,ロイヤルアタック,ジェネラス,0.00,962.80
2012101506, □地マハラジャ 　,2012年3月26日,川勝歩 (船橋),田端繁春,田端牧場,日高町,,ダイワメジャー,イースタリーブリーズ,Fusaichi Pegasus,140.00,140.00
2012101507,キミホウセキの2012 　,2012年3月16日, ,,田端牧場,日高町,,クロフネ,キミホウセキ,サンデーサイレンス,0,0
2012101508,サンマルフェアリー 　,2012年2月26日,牧浦充徳 (栗東),相馬勇,田端牧場,日高町,,ブラックタイド,サンマルアンサー,リンドシェーバー,0.00,0.00
2012101509, □地サンマルブリーズ 　,2012年2月22日,雑賀伸一 (地方),大月隆寛,田端牧場,日高町,,ヴァーミリアン,サンマルバンベール,マンハッタンカフェ,0.00,50.00
2012101510, □地コスモジョイジョイ 　,2012年4月26日, (地方),山口久仁子,田端牧場,日高町,651万円 (2013年 北海道サマーセール),ジャングルポケット,シルバージョイ,Silver Deputy,130.00,180.00
2012101511, □地ルリアンソリデ 　,2012年4月14日,稲益貴弘 (船橋),野崎優,田端牧場,日高町,,アサクサデンエン,ツルミローズ,ダンスインザダーク,164.00,286.00
2012101512,サンマルポジー 　,2012年5月14日,大根田裕 (栗東),相馬勇,田端牧場,日高町,,アドマイヤオーラ,ポジー,ヤマニンスキー,0.00,0.00
2012101513,スモーダリング 　,2012年2月25日,高柳瑞樹 (美浦),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,パイロ,アクアリスト,コロナドズクエスト,700.00,700.00
2012101514,アシェラフの2012 　,2012年5月5日, ,,ダーレー・ジャパン・ファーム,日高町,,パイロ,アシェラフ,Deputy Minister,0,0
2012101515,ピンストライプ 　,2012年3月15日,中内田充 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,バゴ,アバヤ,Storm Cat,655.00,2005.00
2012101516, □地カフェシーン 　,2012年4月1日,松野勝己 (金沢),（同）ＪＰＮ技研,ダーレー・ジャパン・ファーム,日高町,,マンハッタンカフェ,アプリシエーション,Caerleon,0.00,2.60
2012101517,ドラグーン 　,2012年2月29日,土田稔 (美浦),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,パイロ,アーキオロジー,Seeking the Gold,355.00,555.00
2012101518, □地ジンダバイン 　,2012年3月4日,高月賢一 (川崎),日下部勝徳,ダーレー・ジャパン・ファーム,日高町,,コマンズ,アークティックシルク,Selkirk,0.00,690.00
2012101519, □地スレドボ 　,2012年2月17日, (地方),松本桂昌,ダーレー・ジャパン・ファーム,日高町,,コマンズ,アークティックミスト,Seeking the Gold,0.00,0.00
2012101520, □地ルミナスコマンダー 　,2012年3月25日,函館一昭 (船橋),川上和彦,ダーレー・ジャパン・ファーム,日高町,,コマンズ,イブニングアフェア,Kingmambo,0.00,0.00
2012101521,ウィザウトアトレイスの2012 　,2012年2月1日, ,,ダーレー・ジャパン・ファーム,日高町,,コマンズ,ウィザウトアトレイス,Darshaan,0,0
2012101522,ウエスタンアイルの2012 　,2012年2月5日, ,,ダーレー・ジャパン・ファーム,日高町,,ディープスカイ,ウエスタンアイル,Gone West,0,0
2012101523,ガニメード 　,2012年3月1日,栗田徹 (美浦),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,アドマイヤムーン,ヴァレッタ,Cape Cross,0.00,200.00
2012101524, □地クリアスカイ 　,2012年4月10日,川野勇馬 (高知),大西充秋,ダーレー・ジャパン・ファーム,日高町,,ディープスカイ,ヴェルヴェットクイーン,シングスピール,0.00,45.90
2012101525, □地フォアニーム 　,2012年3月23日, (地方),山本晋也,ダーレー・ジャパン・ファーム,日高町,,アドマイヤムーン,ヴェルヴェットレディ,Nashwan,0.00,0.00
2012101526, □地オースティン 　,2012年4月19日,山中輝久 (笠松),（有）ホースケア,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,エイプリルスカイズ,Kaldounevees,0.00,8.00
2012101527, □地ヤマノキュート 　,2012年3月1日,堀千亜樹 (大井),山泉恵宥,ダーレー・ジャパン・ファーム,日高町,,コマンズ,エリーゼパレス,King's Best,16.00,16.00
2012101528,ノースウッド 　,2012年2月11日,野中賢二 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,コマンズ,オータムメロディー,Kingmambo,0.00,775.00
2012101529,スリーシスターズ 　,2012年3月30日,西園正都 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,パイロ,カトゥーンバ,Forest Wildcat,0.00,130.00
2012101530,ボーディシア 　,2012年2月20日,中竹和也 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,パイロ,カントリーメロディー,Gone West,0.00,0.00
2012101531,ナタール 　,2012年2月2日,高柳瑞樹 (美浦),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,キャンディス,Caerleon,0.00,0.00
2012101532,キュウナスの2012 　,2012年4月29日, ,,ダーレー・ジャパン・ファーム,日高町,,アドマイヤムーン,キュウナス,Irish River,0,0
2012101533,シンダーズ 　,2012年2月12日,荒川義之 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,パイロ,キュームレイト,Gone West,0.00,600.00
2012101534, □地ファイアフライ 　,2012年3月20日,米田英世 (大井),坂本浩一,ダーレー・ジャパン・ファーム,日高町,,パイロ,ギフトオブソング,Unbridled's Song,700.00,789.00
2012101535,フォーサイト 　,2012年3月22日,千田輝彦 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,アドマイヤムーン,クイーンオブナプレス,シングスピール,0.00,0.00
2012101536,チャパラ 　,2012年4月25日,吉村圭司 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,グワダラハラ,Acatenango,50.00,1003.70
2012101537, □地ソサエティクイーン 　,2012年5月3日,板垣吉則 (岩手),前田敏文,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,コスモポリタン,Cadeaux Genereux,0.00,500.00
2012101538,コムフレイの2012 　,2012年3月6日, ,,ダーレー・ジャパン・ファーム,日高町,,コマンズ,コムフレイ,A.P. Indy,0,0
2012101539, □地マングジ 　,2012年4月15日,沢佳宏 (大井),杉山一穂,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,コージーベイ,Storm Cat,0.00,250.00
2012101540,テイクウォーニング 　,2012年2月16日,藤岡健一 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,ディープスカイ,Gold Sunrise,フォーティナイナー,410.00,1110.00
2012101541,サイレントセンティネルの2012 　,2012年1月24日, ,,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,サイレントセンティネル,Silver Hawk,0,0
2012101542, □地ウニヴェルソ 　,2012年1月22日,山浦武 (船橋),矢沼浩二,ダーレー・ジャパン・ファーム,日高町,,ネオユニヴァース,サバナパディーダ,Cape Cross,0.00,8.00
2012101543, □地コトウッドテール 　,2012年5月4日, (地方),梶正典,ダーレー・ジャパン・ファーム,日高町,,ディープスカイ,サマーセレナーデ,Sadler's Wells,0.00,33.30
2012101544,サトーリアス 　,2012年4月5日,角居勝彦 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,ザミリア,Cape Cross,0.00,240.00
2012101545, □地ロザムンデ 　,2012年2月9日,及川良春 (岩手),岩渕瑞生,ダーレー・ジャパン・ファーム,日高町,,パイロ,シェルシーカー,Machiavellian,0.00,0.00
2012101546,スクワール 　,2012年2月27日,野中賢二 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,ショートハンド,ディクタット,340.00,1445.00
2012101547,シゲルシチフクジン 　,2012年4月2日,伊藤正徳 (美浦),森中蕃,ダーレー・ジャパン・ファーム,日高町,,ストーミングホーム,シンバルII,シングスピール,70.00,195.00
2012101548,ワグテイル 　,2012年4月21日,安田隆行 (栗東),Ｈ．Ｈ．シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,コマンズ,ジェニーリンド,シングスピール,0.00,0.00
