Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2011101455, □地シゲルタンゴ 　,2011年3月12日,九日俊光 (佐賀),森中蕃,広田牧場,新ひだか町,284万円 (2012年 北海道サマーセール),デュランダル,モリトヴィーナス,リンドシェーバー,0.00,0.00
2011101456,アビエイター 　,2011年2月17日,伊藤正徳 (美浦),ヒダカ・ブリーダーズ・ユニオン,広田牧場,新ひだか町,"2,310万円 (2011年 セレクトセール)",ディープスカイ,リザーブシート,クリエイター,0.00,0.00
2011101457,ワキノハクリュウ 　,2011年3月25日,清水久詞 (栗東),脇山良之,広田牧場,新ひだか町,,デュランダル,ワキノドライバー,スウェプトオーヴァーボード,0.00,0.00
2011101458,ワキノマーチ 　,2011年3月16日,川村禎彦 (栗東),脇山良之,広田牧場,新ひだか町,,ダンスインザダーク,ワキノバクシン,サクラバクシンオー,0.00,0.00
2011101459,キクノアヴァン 　,2011年4月11日,北出成人 (栗東),菊池五郎,フクダファーム,新ひだか町,,バゴ,キクノジェニー,ジェニュイン,0.00,0.00
2011101460,キクノソレイユ 　,2011年4月28日,吉田直弘 (栗東),菊池五郎,フクダファーム,新ひだか町,,オペラハウス,キクノディアナ,アドマイヤベガ,0.00,0.00
2011101461,アオリンゴ 　,2011年4月18日,岩戸孝樹 (美浦),田頭勇貴,藤井牧場,新ひだか町,137万円 (2012年 北海道サマーセール),グラスワンダー,ブルーフェリシア,マーベラスサンデー,70.00,70.00
2011101462,テイエムデンコウ 　,2011年5月10日,石栗龍彦 (美浦),竹園正繼,藤巻則弘,新ひだか町,305万円 (2012年 北海道オータムセール),ブラックタイド,ナイキステイブル,ホワイトマズル,0.00,0.00
2011101463, ○地フレンドスイート 　,2011年5月1日,南田美知 (美浦),横尾晴人,藤巻則弘,新ひだか町,389万円 (2013年 JRAブリーズアップセール),バゴ,フェレット,サンデーサイレンス,130.00,259.80
2011101464, □地リュウノメダリスト 　,2011年3月1日,斉藤敏 (船橋),蓑島竜一,堀川洋之,新ひだか町,662万円 (2013年 北海道トレーニングセール),ボストンハーバー,シルエットロマンス,ロイヤルタッチ,150.00,150.00
2011101465,ウインアルチザン 　,2011年4月30日,梅田智之 (栗東),ウイン,幌村牧場,新ひだか町,735万円 (2012年 北海道セレクションセール),ネオユニヴァース,アーチスト,In the Wings,0.00,46.00
2011101466, □地バターカップ 　,2011年4月25日,平松徳彦 (兵庫),泉一郎,幌村牧場,新ひだか町,,アルカセット,イソノフォーティ,フォーティナイナー,0.00,0.00
2011101467,コスモメリー 　,2011年3月24日,金成貴史 (美浦),ビッグレッドファーム,幌村牧場,新ひだか町,116万円 (2012年 北海道オータムセール),アドマイヤジャパン,ダンシングメリー,シンボリルドルフ,70.00,240.00
2011101468,ラフィネシチー 　,2011年4月30日,岡田稲男 (栗東),友駿ホースクラブ,幌村牧場,新ひだか町,,ゴールドアリュール,レディクラシック,ブライアンズタイム,700.00,700.00
2011101469, □地メイクイットホーム 　,2011年5月3日,桜田浩樹 (岩手),木村広太,本桐牧場,新ひだか町,420万円 (2013年 北海道トレーニングセール),ケイムホーム,エリカオンヒル,Century City,24.00,67.90
2011101470, □地エールダッシュ 　,2011年3月28日,大石省三 (兵庫),長井惠,本桐牧場,新ひだか町,,ワイルドラッシュ,エルバニヤン,スペシャルウィーク,9.00,64.80
2011101471, □地ウイントゥモロー 　,2011年4月9日,山崎裕也 (川崎),角谷守正,本桐牧場,新ひだか町,,ステイゴールド,キョウモヨロシク,ジェイドロバリー,620.00,908.00
2011101472,ヒラリアス 　,2011年4月15日,加藤和宏 (美浦),岡田牧雄,本桐牧場,新ひだか町,158万円 (2012年 北海道サマーセール),ファスリエフ,ケンチャメワン,ミシエロ,200.00,1030.00
2011101473, □地ウインマティーニ 　,2011年3月12日,佐々木由 (岩手),谷謙介,本桐牧場,新ひだか町,,タニノギムレット,ソウルディーバ,アドマイヤベガ,0.00,5.60
2011101474, □地ストライクアコード 　,2011年4月9日,米田英世 (大井),坂本浩一,本桐牧場,新ひだか町,389万円 (2013年 北海道トレーニングセール),サウスヴィグラス,ソービューティフル,リアルシャダイ,197.50,197.50
2011101475,ヒマラヤタカコ 　,2011年3月27日,小桧山悟 (美浦),辻大作,本桐牧場,新ひだか町,483万円 (2013年 北海道トレーニングセール),タイキシャトル,トーヨーフレンチ,フレンチデピュティ,820.00,1472.00
2011101476,ウインインスパイア 　,2011年4月5日,高橋祥泰 (美浦),ウイン,本桐牧場,新ひだか町,,タニノギムレット,ハギノオマージュ,サンデーサイレンス,330.00,1235.00
2011101477, □地インペリアルブルー 　,2011年5月4日,林和弘 (北海道),萩沢俊雄,本桐牧場,新ひだか町,,メイショウボーラー,プリンセスレール,サッカーボーイ,180.00,217.00
2011101478,フジノグランデ 　,2011年3月11日,鹿戸雄一 (美浦),富士開発,本桐牧場,新ひだか町,,アドマイヤムーン,フォーチュン,Night Shift,145.00,145.00
2011101479,メイショウラバンド 　,2011年2月12日,石橋守 (栗東),松本好雄,本桐牧場,新ひだか町,,メイショウオウドウ,メイショウハナビ,メイショウドトウ,385.00,565.00
2011101480, □地エドノマドンナ 　,2011年4月16日,堂山芳則 (北海道),（株）門別牧場,本桐牧場,新ひだか町,,クロフネ,ユメモノガタリ,アグネスタキオン,81.00,100.50
2011101481, □地リキサンエルピーダ 　,2011年4月23日, (地方),北村守彦,本桐牧場,新ひだか町,,ネオユニヴァース,リキサンピュアティ,トニービン,0.00,0.00
2011101482,マッドアバウトユー 　,2011年4月3日,木原一良 (栗東),加藤千豊,前川勇,新ひだか町,378万円 (2012年 北海道サマーセール),アルデバランＩＩ,エイシンメッチェン,サクラユタカオー,980.00,980.00
2011101483, □地ヤマノフウジン 　,2011年3月11日,高橋清顕 (地方),山本勝美,前川隆則,新ひだか町,,コンデュイット,アクアプラネット,エルコンドルパサー,247.50,247.50
2011101484, □地ルーラルヴィーナス 　,2011年2月7日,稲葉道行 (浦和),鍋沢幸男,前川隆則,新ひだか町,,グラスワンダー,サントシャペル,クロフネ,29.90,41.90
2011101485,カシノキララ 　,2011年4月7日,梅内忍 (栗東),柏木務,前川隆則,新ひだか町,,プリサイスエンド,ニシノファンシー,キンググローリアス,0.00,0.00
2011101486,クリノフクノオー 　,2011年4月11日,星野忍 (美浦),栗本博晴,前川隆則,新ひだか町,315万円 (2013年 九州トレーニングセール),マーベラスサンデー,ノーザンセレナード,ノーザンテースト,0.00,0.00
2011101487, □地ゴールドアロー 　,2011年2月13日, (地方),松本桂昌,前川隆則,新ひだか町,273万円 (2012年 北海道サマーセール),キングヘイロー,マヤノロゼッタ,マヤノトップガン,700.00,700.00
2011101488, □地カカボクリスタル 　,2011年5月8日,福島秀夫 (地方),小林知,前川牧場,新ひだか町,,フサイチリシャール,プロミストーク,ジェイドロバリー,20.00,20.00
2011101489,ラガーギアチェンジ 　,2011年2月27日,清水久詞 (栗東),奥村啓二,前川正美,新ひだか町,840万円 (2012年 北海道サマーセール),ハーツクライ,アンティックドール,Fusaichi Pegasus,70.00,70.00
2011101490,コメンデーションの2011 　,2011年4月14日, ,,前川正美,新ひだか町,,マンハッタンカフェ,コメンデーション,コマンダーインチーフ,0,0
2011101491,ミスターエンザン 　,2011年4月21日,尾関知人 (美浦),深澤朝房,前川正美,新ひだか町,578万円 (2012年 北海道サマーセール),スペシャルウィーク,ステンレスダンサー,ジェイドロバリー,0.00,200.00
2011101492, □地タイセイデザイア 　,2011年3月1日,鷹見浩 (大井),田中成奉,前川正美,新ひだか町,,フジキセキ,ナヴィガトリア,クロフネ,0.00,119.00
2011101493, □地ウルトラバローズ 　,2011年4月27日,栗林徹治 (兵庫),若林武雄,前川正美,新ひだか町,,ディープインパクト,ヒドゥンダンス,Nureyev,180.00,230.00
2011101494, □地ヤマノペガサス 　,2011年3月23日,野田忍 (兵庫),沢村敏雄,前川正美,新ひだか町,452万円 (2012年 北海道オータムセール),チチカステナンゴ,ピサノアリュメール,サンデーサイレンス,0.00,0.00
2011101495, □地センショウゴールド 　,2011年3月15日,長谷川忍 (浦和),内海雅之,前川正美,新ひだか町,"2,520万円 (2012年 北海道セレクションセール)",ステイゴールド,リアルターキン,リアルシャダイ,0.00,180.00
2011101496, □地ソラノラミー 　,2011年3月23日,恵多谷豊 (北海道),千田裕美,松田一夫,新ひだか町,,サイレントディール,ソラノチャーマー,タイキブリザード,19.50,25.80
2011101497, □地リックサクラー 　,2011年5月2日,森山英雄 (笠松),山辺浩,前田宗将,新ひだか町,263万円 (2013年 JRAブリーズアップセール),マツリダゴッホ,アポインテッドラブ,Gentlemen,37.00,83.80
2011101498, □地ヴァリアンティー 　,2011年4月25日, (地方),（有）ホースケア,前田宗将,新ひだか町,315万円 (2012年 北海道オータムセール),アドマイヤムーン,タヤスオドリコ,ミルジョージ,0.00,0.00
2011101499,ベストクオリティー 　,2011年4月9日,栗田博憲 (美浦),山田弘,前田宗将,新ひだか町,,チチカステナンゴ,トランクイリティー,トニービン,0.00,0.00
2011101500,アポロスターズ 　,2011年3月28日,堀井雅広 (美浦),アポロサラブレッドクラブ,前田宗将,新ひだか町,,アポロキングダム,ハチノヨウニサス,War Chant,2451.00,2451.00
2011101501, □地ドナータ 　,2011年3月10日,城地俊光 (岩手),藤村忠三郎,前田宗将,新ひだか町,,フォーティナイナーズサン,フィールドボニータ,コロナドズクエスト,53.40,53.40
2011101502,サウンドグランデ 　,2011年2月17日,和田正道 (美浦),増田雄一,前田宗将,新ひだか町,"1,575万円 (2012年 北海道セレクションセール)",キングヘイロー,ヘバラー,Fairy King,0.00,130.00
2011101503,ミムズリターンの2011 　,2011年4月23日, ,,前田宗将,新ひだか町,137万円 (2012年 北海道オータムセール),タイムパラドックス,ミムズリターン,Woodman,0,0
2011101504, □地サカジロハンサム 　,2011年4月23日,田中譲二 (高知),酒井孝敏,前田宗将,新ひだか町,746万円 (2012年 北海道セレクションセール),アグネスデジタル,モエレヒライス,エリシオ,0.00,0.00
2011101505,シゲルナガト 　,2011年4月6日,武市康男 (美浦),森中蕃,前田宗将,新ひだか町,221万円 (2012年 北海道オータムセール),プリサイスエンド,モエレプット,ゴールドヘイロー,0.00,30.80
2011101506,ホクセツヒーロー 　,2011年3月18日,白井寿昭 (栗東),平島尚武,前田宗将,新ひだか町,725万円 (2012年 北海道サマーセール),スクリーンヒーロー,リトルチュチュ,Exceed And Excel,0.00,0.00
2011101507, □地スカーレットムーン 　,2011年5月2日,田中譲二 (高知),（有）ホースケア,前田宗将,新ひだか町,,シンボリクリスエス,ロマンダムール,サンデーサイレンス,0.00,28.00
2011101508,ウインブレット 　,2011年3月1日,田中剛 (美浦),ウイン,松本牧場,新ひだか町,,プリサイスエンド,エーシンブランディ,ダンスインザダーク,26.40,52.60
2011101509,エイシンオーキッド 　,2011年4月6日,川村禎彦 (栗東),栄進堂,松本牧場,新ひだか町,,マツリダゴッホ,キャントンガール,Storm Boot,70.00,83.90
2011101510,ケージーフクムスメ 　,2011年2月16日,菊沢隆徳 (美浦),川井五郎,松本牧場,新ひだか町,,ファスリエフ,ケージーオテンバ,マヤノトップガン,0.00,21.00
2011101511,ケージーオオゾラ 　,2011年5月15日,伊藤大士 (美浦),川井五郎,松本牧場,新ひだか町,,プリサイスエンド,ケージーカチドキ,コマンダーインチーフ,180.00,183.50
2011101512,ケージープリサイス 　,2011年3月30日,伊藤大士 (美浦),川井五郎,松本牧場,新ひだか町,,プリサイスエンド,ケージーホマレ,ダンスインザダーク,0.00,335.00
2011101513, ○地ケージーキンカメ 　,2011年4月7日,飯田雄三 (栗東),岩崎僖澄,松本牧場,新ひだか町,,キングカメハメハ,ケージーワンモア,フジキセキ,0.00,646.00
2011101514, □地エイシンオラトリオ 　,2011年3月13日,松本隆宏 (北海道),平井克彦,松本牧場,新ひだか町,,ハーツクライ,ジョイポップ,Red Ransom,46.00,46.00
2011101515,エルモリヤ 　,2011年4月3日,牧田和弥 (栗東),国田正忠,松本牧場,新ひだか町,840万円 (2012年 セレクトセール),ハーツクライ,トゥインクルレイン,Gilded Time,0.00,260.00
2011101516, □地ケージームスメ 　,2011年3月21日,大島静夫 (佐賀),安徳義則,松本牧場,新ひだか町,,タニノギムレット,ブレーヴユアハート,Caerleon,0.00,15.00
2011101517,ダンツトーラス 　,2011年5月1日,本田優 (栗東),山元哲二,水上習孝,新ひだか町,"1,313万円 (2013年 JRAブリーズアップセール)",アルデバランＩＩ,オテンバコマチ,ダンシングブレーヴ,0.00,350.00
2011101518, □地プラチナバディ 　,2011年3月22日,辻野豊 (大井),浜田光紀,水上習孝,新ひだか町,"1,071万円 (2012年 北海道セレクションセール)",ヨハネスブルグ,シルクメガヒット,サンデーサイレンス,0.00,91.80
2011101519,ショウサンミーベル 　,2011年4月5日,牧田和弥 (栗東),鈴木昭和,水上習孝,新ひだか町,483万円 (2012年 北海道オータムセール),フジキセキ,スズカリーガル,ホワイトマズル,380.00,880.00
2011101520,ビビアンバローズ 　,2011年3月23日,小笠倫弘 (美浦),猪熊広次,水上習孝,新ひだか町,,マンハッタンカフェ,チッキーズディスコ,Shirley Heights,0.00,0.00
2011101521, □地ノアポルテ 　,2011年5月18日,雑賀秀介 (高知),（有）ミドルアイラン,水上習孝,新ひだか町,158万円 (2012年 北海道オータムセール),ネオユニヴァース,ミシシッピーミス,Distinctive Pro,0.00,0.00
2011101522,カシノケトル 　,2011年4月23日,日吉正和 (栗東),柏木務,水丸牧場,新ひだか町,158万円 (2012年 北海道サマーセール),スタチューオブリバティ,アナーム,Caerleon,240.00,240.00
2011101523, ○地ワンダーエターナル 　,2011年5月20日,羽月友彦 (栗東),山本信行,水丸牧場,新ひだか町,263万円 (2012年 北海道オータムセール),アルカセット,タケショウティアラ,ニホンピロウイナー,0.00,55.30
2011101524,アルファディケイ 　,2011年4月25日,粕谷昌央 (美浦),池谷誠一,水丸牧場,新ひだか町,315万円 (2012年 北海道サマーセール),マイネルラヴ,ブルーペルル,Bluebird,0.00,0.00
2011101525,ユメハマサユメ 　,2011年2月11日,畠山重則 (美浦),松田整二,水丸牧場,新ひだか町,,ローエングリン,ミツアキチーター,エイシンサンディ,0.00,15.40
2011101526, □地ブラックメイプル 　,2011年3月29日,及川良春 (岩手),谷謙介,水丸牧場,新ひだか町,326万円 (2012年 北海道サマーセール),アドマイヤマックス,ミホダイリン,ラストタイクーン,395.00,595.00
2011101527, □地エイシンモルト 　,2011年5月4日,橋本忠明 (地方),平井克彦,水丸牧場,新ひだか町,,ハーツクライ,メンフィスベル,Cryptoclearance,0.00,155.00
2011101528, □地ジョイナガール 　,2011年4月14日,高田豊治 (佐賀),津村達矢,水丸牧場,新ひだか町,,オリオンザサンクス,レジーナガール,Siphon,0.00,0.00
2011101529,アグネスオピニオン 　,2011年4月10日,西浦勝一 (栗東),渡辺孝男,三石川上牧場,新ひだか町,,ジャイアントレッカー,アグネスクイーン,アグネスフライト,180.00,180.00
2011101530,ビリオネアズロウ 　,2011年5月6日,粕谷昌央 (美浦),池谷誠一,三石川上牧場,新ひだか町,756万円 (2012年 北海道サマーセール),キングヘイロー,イケイケサンドリン,フォーティナイナー,0.00,0.00
2011101531, □地スパルタカス 　,2011年5月6日,平山真希 (地方),飯田学,三石川上牧場,新ひだか町,"1,838万円 (2013年 北海道トレーニングセール)",アグネスデジタル,ウイズアフェクション,Red Ransom,70.00,70.00
2011101532,パープルパルピナ 　,2011年3月24日,福島信晴 (栗東),中野銀十,三石川上牧場,新ひだか町,,タイキシャトル,スパイシーソース,Storm Cat,75.00,144.00
2011101533,ハートフルメロディの2011 　,2011年5月4日, ,,三石川上牧場,新ひだか町,,ファスリエフ,ハートフルメロディ,チーフベアハート,0,0
2011101534,タウトナ 　,2011年2月15日,飯田祐史 (栗東),ターフ・スポート,三石川上牧場,新ひだか町,,ヨハネスブルグ,フラワーホーラー,トニービン,70.00,70.00
2011101535, □地ジャンパップ 　,2011年4月5日,植松則幸 (地方),（株）ファーストビジ,三石川上牧場,新ひだか町,,ジャイアントレッカー,マーブルズタイム,ブライアンズタイム,0.00,5.50
2011101536, □地アミロマンボ 　,2011年4月30日,那俄性哲 (地方),（有）アシスタント,三石川上牧場,新ひだか町,,スズカマンボ,マーメイドゴールド,Deputy Minister,0.00,38.10
2011101537, □地カシノシュウセイ 　,2011年5月7日,古賀光範 (佐賀),柏木務,三石川上牧場,新ひだか町,210万円 (2012年 北海道サマーセール),スタチューオブリバティ,ミスポーラ,タイキシャトル,0.00,0.00
2011101538,シゲルハリマ 　,2011年5月3日,伊藤正徳 (美浦),森中蕃,三石川上牧場,新ひだか町,420万円 (2012年 北海道サマーセール),プリサイスエンド,ライジングフラッグ,ラムタラ,100.00,100.00
2011101539,カワカミマゴコロ 　,2011年3月10日,荒川義之 (栗東),三石川上牧場,三石川上牧場,新ひだか町,,パイロ,リバーサウンド,ブライアンズタイム,280.00,1065.00
2011101540, □地グロリアスカフェ 　,2011年2月16日,角田輝也 (愛知),西川光一,三石橋本牧場,新ひだか町,,マンハッタンカフェ,イントゥザライト,ブライアンズタイム,880.00,1370.00
2011101541,カフェテキーラ 　,2011年4月8日,尾関知人 (美浦),西川恭子,三石橋本牧場,新ひだか町,,マンハッタンカフェ,カフェララルー,ストラヴィンスキー,0.00,0.00
2011101542,コウエイタケル 　,2011年3月21日,山内研二 (栗東),伊東政清,三石橋本牧場,新ひだか町,,ステイゴールド,ケイアイエリザベス,フレンチデピュティ,1088.80,2317.00
2011101543,アドマイヤビジン 　,2011年3月24日,梅田智之 (栗東),近藤利一,三石橋本牧場,新ひだか町,"1,995万円 (2013年 JRAブリーズアップセール)",クロフネ,スマイルビジン,ゴールドヘイロー,2005.80,4686.60
2011101544, □地ラヴラヴフェイス 　,2011年4月23日,錦見勇夫 (愛知),錦見日出雄,山口忠彦,新ひだか町,,スウェプトオーヴァーボード,ベビーフェイス,キングヘイロー,158.20,175.70
2011101545,ホワイトポイントの2011 　,2011年3月28日, ,,三石橋本牧場,新ひだか町,,ブラックタイド,ホワイトポイント,デザートキング,0,0
2011101546, □地ルークインザスカイ 　,2011年3月7日,新井清重 (船橋),（同）ＪＰＮ技研,三石橋本牧場,新ひだか町,,ヤマニンセラフィム,マイニングレディ,マイニング,125.00,158.00
2011101547, □地キンノタマゴ 　,2011年4月25日,那俄性哲 (福山),（有）アシスタント,三石橋本牧場,新ひだか町,158万円 (2012年 北海道サマーセール),リンカーン,レディフェザー,トワイニング,70.00,71.70
2011101548,トワノトップガン 　,2011年5月5日,土田稔 (美浦),永田清男,三石橋本牧場,新ひだか町,158万円 (2012年 北海道オータムセール),マヤノトップガン,ローレルウィッチ,エルコンドルパサー,0.00,0.00
2011101549, □地ムームー 　,2011年5月4日,佐久間雅 (北海道),原口輝昭,三石ファーム,新ひだか町,,ティンバーカントリー,カネサゼファー,ヤマニンゼファー,0.00,0.00
2011101550, □地マンボプリンス 　,2011年4月11日, (地方),千葉博,三石ファーム,新ひだか町,116万円 (2012年 北海道オータムセール),スズカマンボ,カネショウシャネル,フェアジャッジメント,75.00,301.00
2011101551, □地スカイウォリアー 　,2011年4月4日,井手上慎 (愛知),原口厚三,三石ファーム,新ひだか町,,テレグノシス,カネショウダイヤ,ダイヤモンドショール,75.90,265.90
2011101552, □地イシュタルサーガ 　,2011年4月3日,井手上慎 (愛知),原口厚三,三石ファーム,新ひだか町,,ヨハネスブルグ,カネショウフェアー,コロニアルアッフェアー,4.50,34.90
2011101553, □地スリーキーパー 　,2011年3月21日,竹下直人 (愛知),永井商事（株）,三石ファーム,新ひだか町,,スリーロールス,スリーキュート,トワイニング,0.00,11.50
2011101554, □地グルーミング 　,2011年4月6日,三小田幸 (佐賀),廣松重信,三石ファーム,新ひだか町,,マーベラスサンデー,セラフ,ホワイトマズル,17.80,26.10
2011101555, □地ビーマイラブリング 　,2011年4月26日,桑原義光 (北海道),坂田行夫,三石ファーム,新ひだか町,,サウスヴィグラス,ブライアンズビコー,ブライアンズタイム,170.00,170.00
2011101556, □地ブルーインパレス 　,2011年3月11日,内田勝義 (地方),（有）プリークネス,三石ファーム,新ひだか町,,プリサイスエンド,マルカハマナス,サクラチトセオー,150.00,167.60
2011101557, ○地ナデシコスピリッツ 　,2011年4月30日,藤原辰雄 (美浦),グランド牧場,村上牧場,新ひだか町,,フサイチコンコルド,オークスピリッツ,サンデーサイレンス,383.00,383.00
2011101558,メデューサノヒトミ 　,2011年3月23日,清水英克 (美浦),千葉正人,村上牧場,新ひだか町,,タイキシャトル,ブイルージュ,ウォーニング,0.00,0.00
2011101559, □地グランドファシナ 　,2011年5月19日,熊谷昇 (岩手),川村初美,村上牧場,新ひだか町,,アグネスデジタル,ラヴィール,キンググローリアス,189.00,199.50
2011101560, □地ビッグスプラッシュ 　,2011年4月13日,雑賀正光 (高知),小菅誠,村上牧場,新ひだか町,105万円 (2012年 北海道サマーセール),サイレントディール,ラブスプラッシュ,タバスコキャット,86.50,105.30
2011101561,アルファーワンの2011 　,2011年3月19日, ,,明治牧場,新ひだか町,,シンボリクリスエス,アルファーワン,エルコンドルパサー,0,0
2011101562,フェアリーミラクル 　,2011年5月23日,浅見秀一 (栗東),杉山忠国,明治牧場,新ひだか町,,フジキセキ,イットーフレンチ,フレンチデピュティ,0.00,0.00
2011101563,ゴールドスパイラル 　,2011年3月14日,友道康夫 (栗東),杉山忠国,明治牧場,新ひだか町,,ステイゴールド,ゴールデンバウアー,Mr. Greeley,0.00,0.00
2011101564,アトム 　,2011年5月9日,池江泰寿 (栗東),杉山忠国,明治牧場,新ひだか町,,ディープインパクト,シャイニングエナジー,Rahy,2812.60,2812.60
2011101565,ワールドダンス 　,2011年5月14日,須貝尚介 (栗東),杉山忠国,明治牧場,新ひだか町,,ダンスインザダーク,シャイニングピアス,ブライアンズタイム,700.00,700.00
2011101566, □地サムソンズライト 　,2011年5月18日,池田忠好 (地方),古倉正一,明治牧場,新ひだか町,,メイショウサムソン,スギノキューティー,Majestic Light,0.00,245.80
2011101567, □地ヒステリック 　,2011年3月9日,金田一昌 (金沢),松本雅彦,明治牧場,新ひだか町,,アドマイヤコジーン,スギノクリスティー,Kris S.,11.20,11.20
2011101568,スーパースパーク 　,2011年5月4日,伊藤大士 (美浦),杉山忠国,明治牧場,新ひだか町,,バゴ,スギノトヨヒメ,フジキセキ,0.00,0.00
2011101569,ベッピンハン 　,2011年4月9日,尾形充弘 (美浦),杉山忠国,明治牧場,新ひだか町,,シンボリクリスエス,スギノフォルモーザ,サンデーサイレンス,0.00,0.00
2011101570,メザンジュ 　,2011年1月26日,浅見秀一 (栗東),杉山忠国,明治牧場,新ひだか町,,キングカメハメハ,ダンスプリンセス,ダンスインザダーク,0.00,0.00
2011101571,レガリア 　,2011年4月9日,浅見秀一 (栗東),杉山忠国,明治牧場,新ひだか町,,ハーツクライ,デスピュートロマン,Gone West,680.00,680.00
2011101572,ホットボディー 　,2011年4月25日,武市康男 (美浦),杉山忠国,明治牧場,新ひだか町,,ダンスインザダーク,ファステック,Forestry,0.00,0.00
2011101573,プリサイスタイム 　,2011年4月11日,古賀史生 (美浦),杉山忠国,明治牧場,新ひだか町,,プリサイスエンド,ブライアンズビット,ブライアンズタイム,0.00,0.00
2011101574,リヴィエール 　,2011年4月3日,斎藤誠 (美浦),杉山忠国,明治牧場,新ひだか町,,ハーツクライ,プラチナローズ,クロフネ,380.00,1088.00
2011101575, □地カーリーズタイム 　,2011年5月15日,晴山厚司 (岩手),井上修一,元茂牧場,新ひだか町,,オレハマッテルゼ,イースタンロマン,ブライアンズタイム,0.00,0.80
2011101576,ゴールデンスピン 　,2011年5月18日,大江原哲 (美浦),田島榮二郎,元茂牧場,新ひだか町,,プリサイスエンド,ステッバイステップ,カリズマティック,200.00,1565.00
2011101577,ルンバ 　,2011年5月28日,和田雄二 (美浦),田島榮二郎,元茂牧場,新ひだか町,,スウェプトオーヴァーボード,マリナデルレイ,ボストンハーバー,0.00,0.00
2011101578, □地ヴィクトリクイン 　,2011年4月9日, (地方),下岡憲久,元茂義一,新ひだか町,,ヴィクトリー,アイラブユーモア,ジェイドロバリー,34.60,40.60
2011101579,マイベッピンの2011 　,2011年4月21日, ,,元茂義一,新ひだか町,247万円 (2012年 北海道サマーセール),トウカイテイオー,マイベッピン,ジェイドロバリー,0,0
2011101580,アグネスターフの2011 　,2011年5月8日, ,,元道牧場,新ひだか町,,アドマイヤドン,アグネスターフ,アグネスカミカゼ,0,0
2011101581,スガコの2011 　,2011年4月11日, ,,元道牧場,新ひだか町,,アドマイヤマックス,スガコ,キンググローリアス,0,0
2011101582,ノボサーファー 　,2011年5月28日,小野次郎 (美浦),ＬＳ．Ｍ,元道牧場,新ひだか町,315万円 (2012年 北海道サマーセール),ノボジャック,ターフナチュラル,ブレイヴェストローマン,0.00,0.00
2011101583, □地シャークファング 　,2011年4月8日,秋吉和美 (大井),鮫島明洋,元道牧場,新ひだか町,326万円 (2013年 北海道トレーニングセール),パイロ,ノースソング,アンバーシャダイ,637.50,3081.50
2011101584,キャンドルライト 　,2011年3月6日,加藤敬二 (栗東),山本茂,元道牧場,新ひだか町,,ファンタスティックライト,ヤサラム,Grand Slam,0.00,0.00
2011101585, □地パドドゥ 　,2011年5月8日,笹野博司 (笠松),ホースケア,元道牧場,新ひだか,,スクリーンヒーロー,ローランジニー,ソウルオブザマター,436.50,447.80
2011101586, □地サッポロラン 　,2011年2月22日,川村守男 (浦和),佐々木薫,森俊雄,新ひだか町,,スウィフトカレント,フォレストベイビー,ラストタイクーン,146.90,146.90
2011101587, □地レインボーカレン 　,2011年5月14日,大石省三 (兵庫),築紫洋,森政巳,新ひだか町,,トーホウエンペラー,イナリカレン,リアルシャダイ,5.60,24.20
2011101588, ○地チョウエンペラー 　,2011年4月29日,日吉正和 (栗東),丸山隆雄,森政巳,新ひだか町,,トーホウエンペラー,エイシンシグマ,エイシンサンディ,342.00,414.00
2011101589,ビバヤングメン 　,2011年5月15日,日吉正和 (栗東),池住節子,森政巳,新ひだか町,,オンファイア,エイシンリンドウ,コマンダーインチーフ,0.00,0.00
2011101590, □地ベネデッタ 　,2011年4月17日,屋敷和彦 (兵庫),（有）クローバーフォ,森政巳,新ひだか町,,アグネスフライト,エデン,ジェイドロバリー,5.10,38.70
2011101591, □地ヴィクトリーマイ 　,2011年5月5日,田島寿一 (川崎),古賀慎一,森政巳,新ひだか町,,ティンバーカントリー,キリーンガール,Cozzene,75.00,258.40
2011101592, □地コンソラータ 　,2011年4月11日,栗林徹治 (兵庫),（有）クローバーフォ,森政巳,新ひだか町,,シニスターミニスター,コブシ,ディアブロ,94.00,136.00
2011101593, □地ソニッククルーザー 　,2011年3月14日,山際孝幸 (笠松),山際義明,山際セントラルスタッド,新ひだか町,,スウェプトオーヴァーボード,ガーネットビコー,フジキセキ,58.00,59.80
2011101594,スズトラッド 　,2011年4月7日,高橋裕 (美浦),森達郎,山際セントラルスタッド,新ひだか町,998万円 (2013年 JRAブリーズアップセール),ヨハネスブルグ,グラスレビン,ブライアンズタイム,0.00,740.00
2011101595, □地ハヤトダマシイ 　,2011年5月12日,山際孝幸 (笠松),稲川專造,山際セントラルスタッド,新ひだか町,,スターリングローズ,キスザスカイ,グラスワンダー,37.50,87.90
2011101596,ダンシングマツリの2011 　,2011年3月16日, ,,山際セントラルスタッド,新ひだか町,,エイシンサンディ,ダンシングマツリ,アフリート,0,0
2011101597, □地セントウォーク 　,2011年5月22日,山際孝幸 (笠松),山際義明,山際セントラルスタッド,新ひだか町,,ダンスインザダーク,フィールザミリオン,Aptitude,3.50,7.10
